Instrument,Revenue,Gross Profit,Operating Income,"Capital Expenditures, Cumulative",Selling/General/Administrative Expense,Net Income Incl Extra Before Distributions,Total Assets
MSFT.O,32471000000.0,20048000000.0,10248000000.0,-7309000000.0,5720000000.0,8420000000.0,258859000000.0
MSFT.O,30571000000.0,20401000000.0,10334000000.0,-9874000000.0,5744000000.0,8809000000.0,263281000000.0
MSFT.O,33717000000.0,23305000000.0,12396000000.0,-13925000000.0,6387000000.0,13187000000.0,286556000000.0
MSFT.O,33055000000.0,22649000000.0,12660000000.0,-3385000000.0,5398000000.0,10678000000.0,278955000000.0
MSFT.O,36906000000.0,24548000000.0,13881000000.0,-6930000000.0,6054000000.0,11649000000.0,282794000000.0
MSFT.O,35021000000.0,24046000000.0,12899000000.0,-10697000000.0,6184000000.0,10752000000.0,285449000000.0
MSFT.O,38033000000.0,25694000000.0,13386000000.0,-15441000000.0,7073000000.0,11202000000.0,301311000000.0
MSFT.O,37154000000.0,26152000000.0,15870000000.0,-4907000000.0,5350000000.0,13893000000.0,301001000000.0
MSFT.O,43076000000.0,28882000000.0,17895000000.0,-9081000000.0,6086000000.0,15463000000.0,304137000000.0
MSFT.O,41706000000.0,28661000000.0,17038000000.0,-14170000000.0,6409000000.0,15457000000.0,308879000000.0
MSFT.O,46152000000.0,32161000000.0,19100000000.0,-20622000000.0,7379000000.0,16458000000.0,333779000000.0
MSFT.O,45317000000.0,31671000000.0,20235000000.0,-5810000000.0,5834000000.0,20505000000.0,335418000000.0
MSFT.O,51728000000.0,34768000000.0,22242000000.0,-11675000000.0,6763000000.0,18765000000.0,340389000000.0
MSFT.O,49360000000.0,33745000000.0,20314000000.0,-17015000000.0,7075000000.0,16728000000.0,344607000000.0
MSFT.O,51865000000.0,35436000000.0,20491000000.0,-23886000000.0,8053000000.0,16740000000.0,364840000000.0
MSFT.O,50122000000.0,34670000000.0,21493000000.0,-6283000000.0,6524000000.0,17556000000.0,359784000000.0
MSFT.O,52747000000.0,35259000000.0,20395000000.0,-12557000000.0,6845000000.0,16425000000.0,364552000000.0
MSFT.O,52857000000.0,36729000000.0,22352000000.0,-19164000000.0,7393000000.0,18299000000.0,380088000000.0
MSFT.O,56189000000.0,39394000000.0,24253000000.0,-28107000000.0,8401000000.0,20081000000.0,411976000000.0
MSFT.O,56517000000.0,40215000000.0,26889000000.0,-9917000000.0,6661000000.0,22291000000.0,445785000000.0
MSFT.O,62020000000.0,42397000000.0,26871000000.0,-19652000000.0,8223000000.0,21870000000.0,470558000000.0
MSFT.O,61858000000.0,43353000000.0,27564000000.0,-30604000000.0,8119000000.0,21939000000.0,484275000000.0
MSFT.O,64727000000.0,45043000000.0,27903000000.0,-44477000000.0,9062000000.0,22036000000.0,512163000000.0
MSFT.O,65585000000.0,45486000000.0,30545000000.0,-14923000000.0,7390000000.0,24667000000.0,523013000000.0
MSFT.O,69632000000.0,47833000000.0,30786000000.0,-30727000000.0,8263000000.0,24108000000.0,533898000000.0
MSFT.O,70066000000.0,48147000000.0,31976000000.0,-47472000000.0,7949000000.0,25824000000.0,562624000000.0
MSFT.O,76441000000.0,52427000000.0,34278000000.0,-64551000000.0,9275000000.0,27233000000.0,619003000000.0
MSFT.O,77673000000.0,53630000000.0,37947000000.0,-19394000000.0,7523000000.0,27747000000.0,636351000000.0
MSFT.O,81273000000.0,55295000000.0,38216000000.0,-49270000000.0,8516000000.0,38458000000.0,665302000000.0
GOOGL.O,39276000000.0,21358000000.0,8221000000.0,-25139000000.0,7103000000.0,8948000000.0,232792000000.0
GOOGL.O,36339000000.0,20327000000.0,6608000000.0,-4638000000.0,5993000000.0,6657000000.0,245349000000.0
GOOGL.O,38944000000.0,21648000000.0,9180000000.0,-10764000000.0,6255000000.0,9947000000.0,257101000000.0
GOOGL.O,40499000000.0,22931000000.0,9177000000.0,-17496000000.0,7200000000.0,7068000000.0,263044000000.0
GOOGL.O,46075000000.0,25055000000.0,9266000000.0,-23548000000.0,8567000000.0,10671000000.0,275909000000.0
GOOGL.O,41159000000.0,22177000000.0,7977000000.0,-6005000000.0,7380000000.0,6836000000.0,273403000000.0
GOOGL.O,38297000000.0,19744000000.0,6383000000.0,-11396000000.0,6486000000.0,6959000000.0,278492000000.0
GOOGL.O,46173000000.0,25056000000.0,11213000000.0,-16802000000.0,6987000000.0,11247000000.0,299243000000.0
GOOGL.O,56898000000.0,30818000000.0,15651000000.0,-22281000000.0,8145000000.0,15227000000.0,319616000000.0
GOOGL.O,55314000000.0,31211000000.0,16437000000.0,-5942000000.0,7289000000.0,17930000000.0,327095000000.0
GOOGL.O,61880000000.0,35653000000.0,19361000000.0,-11438000000.0,8617000000.0,18525000000.0,335387000000.0
GOOGL.O,65118000000.0,37497000000.0,21031000000.0,-18257000000.0,8772000000.0,18936000000.0,347403000000.0
GOOGL.O,75325000000.0,42337000000.0,21885000000.0,-24640000000.0,11744000000.0,20642000000.0,359268000000.0
GOOGL.O,68011000000.0,38412000000.0,20094000000.0,-9786000000.0,9199000000.0,16436000000.0,357096000000.0
GOOGL.O,69685000000.0,39581000000.0,19453000000.0,-16614000000.0,10287000000.0,16002000000.0,355185000000.0
GOOGL.O,69092000000.0,37934000000.0,17135000000.0,-23890000000.0,10526000000.0,13910000000.0,358255000000.0
GOOGL.O,76048000000.0,40706000000.0,18160000000.0,-31485000000.0,12279000000.0,13624000000.0,365264000000.0
GOOGL.O,69787000000.0,39856000000.0,17415000000.0,-6289000000.0,9497000000.0,15051000000.0,369491000000.0
GOOGL.O,74604000000.0,42707000000.0,21838000000.0,-13177000000.0,10222000000.0,18368000000.0,383044000000.0
GOOGL.O,76693000000.0,43487000000.0,21343000000.0,-21232000000.0,10806000000.0,19689000000.0,396711000000.0
GOOGL.O,86310000000.0,48972000000.0,23697000000.0,-32251000000.0,12562000000.0,20687000000.0,402392000000.0
GOOGL.O,80539000000.0,46980000000.0,25472000000.0,-12012000000.0,8888000000.0,23662000000.0,407350000000.0
GOOGL.O,84742000000.0,49235000000.0,27425000000.0,-25198000000.0,9479000000.0,23619000000.0,414770000000.0
GOOGL.O,88268000000.0,51794000000.0,28521000000.0,-38259000000.0,10133000000.0,26301000000.0,430266000000.0
GOOGL.O,96469000000.0,55856000000.0,30972000000.0,-52535000000.0,11868000000.0,26536000000.0,450256000000.0
GOOGL.O,90234000000.0,53873000000.0,30606000000.0,-17197000000.0,9419000000.0,34540000000.0,475374000000.0
GOOGL.O,96428000000.0,57389000000.0,31271000000.0,-39643000000.0,10010000000.0,28196000000.0,502053000000.0
GOOGL.O,102346000000.0,60977000000.0,31228000000.0,-63596000000.0,10798000000.0,34979000000.0,536469000000.0
GOOGL.O,113829000000.0,68062000000.0,35934000000.0,-91447000000.0,13656000000.0,34455000000.0,595281000000.0
AMZN.O,72383000000.0,27597000000.0,3786000000.0,-13427000000.0,15412000000.0,3027000000.0,162648000000.0
AMZN.O,59700000000.0,25780000000.0,4420000000.0,-3290000000.0,12863000000.0,3561000000.0,178102000000.0
AMZN.O,63404000000.0,27067000000.0,3084000000.0,-6852000000.0,13981000000.0,2625000000.0,191351000000.0
AMZN.O,69981000000.0,28679000000.0,3157000000.0,-11549000000.0,15493000000.0,2134000000.0,199099000000.0
AMZN.O,87436000000.0,33459000000.0,3879000000.0,-16861000000.0,18984000000.0,3268000000.0,225248000000.0
AMZN.O,75452000000.0,31195000000.0,3989000000.0,-6795000000.0,17056000000.0,2535000000.0,221238000000.0
AMZN.O,88912000000.0,36252000000.0,5843000000.0,-14254000000.0,18627000000.0,5243000000.0,258314000000.0
AMZN.O,96145000000.0,39039000000.0,6194000000.0,-25317000000.0,20861000000.0,6331000000.0,282179000000.0
AMZN.O,125555000000.0,46271000000.0,6873000000.0,-40140000000.0,26785000000.0,7222000000.0,321195000000.0
AMZN.O,108518000000.0,46115000000.0,8865000000.0,-12082000000.0,23736000000.0,8107000000.0,323077000000.0
AMZN.O,113080000000.0,48904000000.0,7702000000.0,-26370000000.0,25761000000.0,7778000000.0,360319000000.0
AMZN.O,110812000000.0,47882000000.0,4852000000.0,-42118000000.0,27234000000.0,3156000000.0,382406000000.0
AMZN.O,137412000000.0,54577000000.0,3460000000.0,-61053000000.0,34182000000.0,14323000000.0,420549000000.0
AMZN.O,116444000000.0,49945000000.0,3669000000.0,-14951000000.0,29726000000.0,-3844000000.0,410767000000.0
AMZN.O,121234000000.0,54810000000.0,3317000000.0,-30675000000.0,31149000000.0,-2028000000.0,419728000000.0
AMZN.O,127101000000.0,56833000000.0,2525000000.0,-47053000000.0,32328000000.0,2872000000.0,428362000000.0
AMZN.O,149204000000.0,63564000000.0,2737000000.0,-63645000000.0,36982000000.0,278000000.0,462675000000.0
AMZN.O,127358000000.0,59567000000.0,4774000000.0,-14207000000.0,32111000000.0,3172000000.0,464378000000.0
AMZN.O,134383000000.0,65010000000.0,7681000000.0,-25662000000.0,32419000000.0,6750000000.0,477607000000.0
AMZN.O,143083000000.0,68061000000.0,11188000000.0,-38141000000.0,33074000000.0,9879000000.0,486883000000.0
AMZN.O,169961000000.0,77408000000.0,13209000000.0,-52729000000.0,39448000000.0,10624000000.0,527854000000.0
AMZN.O,143313000000.0,70680000000.0,15307000000.0,-14925000000.0,32706000000.0,10431000000.0,530969000000.0
AMZN.O,147977000000.0,74192000000.0,14672000000.0,-32545000000.0,34333000000.0,13485000000.0,554818000000.0
AMZN.O,158877000000.0,77900000000.0,17411000000.0,-55165000000.0,35803000000.0,15328000000.0,584626000000.0
AMZN.O,187792000000.0,88899000000.0,21203000000.0,-82999000000.0,41906000000.0,20004000000.0,624894000000.0
AMZN.O,155667000000.0,78691000000.0,18405000000.0,-25019000000.0,35503000000.0,17127000000.0,643256000000.0
AMZN.O,167702000000.0,86893000000.0,19171000000.0,-57202000000.0,37728000000.0,18164000000.0,682170000000.0
AMZN.O,180169000000.0,91499000000.0,17422000000.0,-92297000000.0,40287000000.0,21187000000.0,727921000000.0
AMZN.O,213386000000.0,103427000000.0,24977000000.0,-131819000000.0,46038000000.0,21192000000.0,818042000000.0
META.O,16914000000.0,14118000000.0,7820000000.0,-13915000000.0,3228000000.0,6882000000.0,97334000000.0
META.O,15077000000.0,12261000000.0,3317000000.0,-3837000000.0,2884000000.0,2429000000.0,109477000000.0
META.O,16886000000.0,13579000000.0,4626000000.0,-7470000000.0,3371000000.0,2616000000.0,117006000000.0
META.O,17652000000.0,14497000000.0,7185000000.0,-11002000000.0,3513000000.0,6091000000.0,124418000000.0
META.O,21082000000.0,17591000000.0,8858000000.0,-15102000000.0,4602000000.0,7349000000.0,133376000000.0
META.O,17737000000.0,14278000000.0,5893000000.0,-3558000000.0,4128000000.0,4902000000.0,138371000000.0
META.O,18687000000.0,14858000000.0,5963000000.0,-6813000000.0,4116000000.0,5178000000.0,139691000000.0
META.O,21470000000.0,17276000000.0,8040000000.0,-10502000000.0,4164000000.0,7846000000.0,146437000000.0
META.O,28072000000.0,22862000000.0,12775000000.0,-15115000000.0,4577000000.0,11219000000.0,159316000000.0
META.O,26171000000.0,21040000000.0,11378000000.0,-4272000000.0,4161000000.0,9497000000.0,163523000000.0
META.O,29077000000.0,23678000000.0,12367000000.0,-8884000000.0,4797000000.0,10394000000.0,170609000000.0
META.O,29010000000.0,23239000000.0,10423000000.0,-13198000000.0,6117000000.0,9194000000.0,169585000000.0
META.O,33671000000.0,27323000000.0,12585000000.0,-18567000000.0,7316000000.0,10285000000.0,165987000000.0
META.O,27908000000.0,21903000000.0,8524000000.0,-5441000000.0,5275000000.0,7465000000.0,164218000000.0
META.O,28822000000.0,23630000000.0,8358000000.0,-13013000000.0,6050000000.0,6687000000.0,169779000000.0
META.O,27714000000.0,21998000000.0,5664000000.0,-22388000000.0,6686000000.0,4395000000.0,178894000000.0
META.O,32165000000.0,25324000000.0,6399000000.0,-31431000000.0,5806000000.0,4653000000.0,185727000000.0
META.O,28645000000.0,22427000000.0,7227000000.0,-6842000000.0,5037000000.0,5709000000.0,184491000000.0
META.O,31999000000.0,26012000000.0,9392000000.0,-13058000000.0,6228000000.0,7788000000.0,206688000000.0
META.O,34146000000.0,27949000000.0,13748000000.0,-19601000000.0,4310000000.0,11583000000.0,216274000000.0
META.O,40111000000.0,32509000000.0,16384000000.0,-27266000000.0,4771000000.0,14017000000.0,229623000000.0
META.O,36455000000.0,29835000000.0,13818000000.0,-6400000000.0,5522000000.0,12369000000.0,222844000000.0
META.O,39071000000.0,31766000000.0,14847000000.0,-14573000000.0,5820000000.0,13465000000.0,230238000000.0
META.O,40589000000.0,33215000000.0,17350000000.0,-22831000000.0,4187000000.0,15688000000.0,256408000000.0
META.O,48385000000.0,39553000000.0,23364000000.0,-37256000000.0,3501000000.0,20838000000.0,276054000000.0
META.O,42314000000.0,34742000000.0,17555000000.0,-12941000000.0,4588000000.0,16644000000.0,280213000000.0
META.O,47516000000.0,39025000000.0,20441000000.0,-29479000000.0,5166000000.0,18337000000.0,294744000000.0
META.O,51242000000.0,42036000000.0,20535000000.0,-48308000000.0,5905000000.0,2709000000.0,303844000000.0
META.O,59893000000.0,48987000000.0,24745000000.0,-69691000000.0,6667000000.0,22768000000.0,366021000000.0
ORCL.N,9614000000.0,7638000000.0,3399000000.0,-1247000000.0,2234000000.0,2745000000.0,109438000000.0
ORCL.N,11137000000.0,9074000000.0,4257000000.0,-1660000000.0,2525000000.0,3740000000.0,108709000000.0
ORCL.N,9218000000.0,7261000000.0,2877000000.0,-386000000.0,2183000000.0,2137000000.0,106229000000.0
ORCL.N,9614000000.0,7566000000.0,3183000000.0,-735000000.0,2313000000.0,2311000000.0,98443000000.0
ORCL.N,9796000000.0,7832000000.0,3528000000.0,-1131000000.0,2253000000.0,2571000000.0,96704000000.0
ORCL.N,10439000000.0,8470000000.0,4308000000.0,-1564000000.0,2147000000.0,3116000000.0,115438000000.0
ORCL.N,9367000000.0,7487000000.0,3211000000.0,-436000000.0,2042000000.0,2251000000.0,113546000000.0
ORCL.N,9800000000.0,7861000000.0,3583000000.0,-1004000000.0,2039000000.0,2442000000.0,110014000000.0
ORCL.N,10085000000.0,8170000000.0,3878000000.0,-1418000000.0,1816000000.0,5021000000.0,118109000000.0
ORCL.N,11227000000.0,9105000000.0,4541000000.0,-2135000000.0,2283000000.0,4032000000.0,131107000000.0
ORCL.N,9728000000.0,7625000000.0,3427000000.0,-1062000000.0,2008000000.0,2457000000.0,122924000000.0
ORCL.N,10360000000.0,8201000000.0,-824000000.0,-1987000000.0,2087000000.0,-1247000000.0,106897000000.0
ORCL.N,10513000000.0,8295000000.0,3822000000.0,-3088000000.0,2162000000.0,2319000000.0,108644000000.0
ORCL.N,11840000000.0,9443000000.0,4502000000.0,-4511000000.0,2414000000.0,3189000000.0,109297000000.0
ORCL.N,11445000000.0,8408000000.0,2623000000.0,-1719000000.0,2380000000.0,1548000000.0,130309000000.0
ORCL.N,12275000000.0,8917000000.0,3071000000.0,-4154000000.0,2336000000.0,1741000000.0,128469000000.0
ORCL.N,12398000000.0,8959000000.0,3260000000.0,-6782000000.0,2303000000.0,1896000000.0,131620000000.0
ORCL.N,13836000000.0,10106000000.0,4140000000.0,-8695000000.0,2419000000.0,3319000000.0,134384000000.0
ORCL.N,12453000000.0,8843000000.0,3296000000.0,-1314000000.0,2204000000.0,2420000000.0,136662000000.0
ORCL.N,12941000000.0,9201000000.0,3622000000.0,-2394000000.0,2200000000.0,2503000000.0,134324000000.0
ORCL.N,13280000000.0,9411000000.0,3750000000.0,-4068000000.0,2144000000.0,2401000000.0,137082000000.0
ORCL.N,14287000000.0,10363000000.0,4686000000.0,-6866000000.0,2240000000.0,3144000000.0,140976000000.0
ORCL.N,13307000000.0,9401000000.0,3991000000.0,-2303000000.0,2146000000.0,2929000000.0,144214000000.0
ORCL.N,14059000000.0,9974000000.0,4220000000.0,-6273000000.0,2283000000.0,3151000000.0,148483000000.0
ORCL.N,14130000000.0,9935000000.0,4358000000.0,-12135000000.0,2208000000.0,2936000000.0,161378000000.0
ORCL.N,15903000000.0,11162000000.0,5109000000.0,-21215000000.0,2419000000.0,3427000000.0,168361000000.0
ORCL.N,14926000000.0,10042000000.0,4277000000.0,-8502000000.0,2174000000.0,2927000000.0,180449000000.0
ORCL.N,16058000000.0,10684000000.0,4731000000.0,-20535000000.0,2279000000.0,6135000000.0,204984000000.0
ORCL.N,17190000000.0,11098000000.0,5464000000.0,-39170000000.0,2135000000.0,3721000000.0,245240000000.0
JPM.N,,,,,,7066000000.0,2622532000000.0
JPM.N,,,,,,9179000000.0,2737187999999.99
JPM.N,,,,,,9652000000.0,2727378999999.99
JPM.N,,,,,,9080000000.0,2764660999999.99
JPM.N,,,,,,8520000000.0,2687379000000.0
JPM.N,,,,,,2865000000.0,3139431000000.0
JPM.N,,,,,,4687000000.0,3213115000000.0
JPM.N,,,,,,9443000000.0,3246076000000.0
JPM.N,,,,,,12136000000.0,3384757000000.0
JPM.N,,,,,,14300000000.0,3689336000000.0
JPM.N,,,,,,11948000000.0,3684256000000.0
JPM.N,,,,,,11687000000.0,3757576000000.0
JPM.N,,,,,,10399000000.0,3743567000000.0
JPM.N,,,,,,8282000000.0,3954687000000.0
JPM.N,,,,,,8649000000.0,3841314000000.0
JPM.N,,,,,,9737000000.0,3773884000000.0
JPM.N,,,,,,11008000000.0,3665743000000.0
JPM.N,,,,,,12622000000.0,3744305000000.0
JPM.N,,,,,,14472000000.0,3868240000000.0
JPM.N,,,,,,13151000000.0,3898333000000.0
JPM.N,,,,,,9307000000.0,3875393000000.0
JPM.N,,,,,,13419000000.0,4090727000000.0
JPM.N,,,,,,18149000000.0,4143003000000.0
JPM.N,,,,,,12898000000.0,4210048000000.0
JPM.N,,,,,,14005000000.0,4002814000000.0
JPM.N,,,,,,14643000000.0,4357856000000.0
JPM.N,,,,,,14987000000.0,4552482000000.0
JPM.N,,,,,,14393000000.0,4560205000000.0
JPM.N,,,,,,13025000000.0,4424900000000.0
BAC.N,,,,,,7278000000.0,2354507000000.0
BAC.N,,,,,,7311000000.0,2377164000000.0
BAC.N,,,,,,7348000000.0,2395891999999.99
BAC.N,,,,,,5777000000.0,2426330000000.0
BAC.N,,,,,,6994000000.0,2434079000000.0
BAC.N,,,,,,4010000000.0,2619954000000.0
BAC.N,,,,,,3533000000.0,2741687999999.99
BAC.N,,,,,,4881000000.0,2738452000000.0
BAC.N,,,,,,5470000000.0,2819627000000.0
BAC.N,,,,,,8050000000.0,2969992000000.0
BAC.N,,,,,,9224000000.0,3029894000000.0
BAC.N,,,,,,7691000000.0,3085446000000.0
BAC.N,,,,,,7013000000.0,3169495000000.0
BAC.N,,,,,,7067000000.0,3238223000000.0
BAC.N,,,,,,6247000000.0,3111606000000.0
BAC.N,,,,,,7082000000.0,3072953000000.0
BAC.N,,,,,,7132000000.0,3051375000000.0
BAC.N,,,,,,8161000000.0,3194657000000.0
BAC.N,,,,,,7408000000.0,3123198000000.0
BAC.N,,,,,,7802000000.0,3153090000000.0
BAC.N,,,,,,3144000000.0,3180151000000.0
BAC.N,,,,,,6674000000.0,3273803000000.0
BAC.N,,,,,,6897000000.0,3257996000000.0
BAC.N,,,,,,6896000000.0,3324293000000.0
BAC.N,,,,,,6665000000.0,3261519000000.0
BAC.N,,,,,,7396000000.0,3349424000000.0
BAC.N,,,,,,7116000000.0,3441142000000.0
BAC.N,,,,,,8469000000.0,3403716000000.0
BAC.N,,,,,,7528000000.0,3411738000000.0
C.N,,,,-3774000000.0,,4313000000.0,1917383000000.0
C.N,,,,-518000000.0,,4710000000.0,1958413000000.0
C.N,,,,-3349000000.0,,4799000000.0,1988226000000.0
C.N,,,,-4360000000.0,,4913000000.0,2014801999999.99
C.N,,,,-5336000000.0,,4979000000.0,1951158000000.0
C.N,,,,-460000000.0,,2536000000.0,2220114000000.0
C.N,,,,-1318000000.0,,1056000000.0,2232799000000.0
C.N,,,,-2300000000.0,,3146000000.0,2234459000000.0
C.N,,,,-3446000000.0,,4309000000.0,2260090000000.0
C.N,,,,-830000000.0,,7942000000.0,2314266000000.0
C.N,,,,-1771000000.0,,6193000000.0,2327868000000.0
C.N,,,,-2811000000.0,,4644000000.0,2361876000000.0
C.N,,,,-4119000000.0,,3173000000.0,2291413000000.0
C.N,,,,-1229000000.0,,4306000000.0,2394105000000.0
C.N,,,,-2465000000.0,,4547000000.0,2380904000000.0
C.N,,,,-3667000000.0,,3479000000.0,2381064000000.0
C.N,,,,-5632000000.0,,2513000000.0,2416676000000.0
C.N,,,,-1634000000.0,,4606000000.0,2455113000000.0
C.N,,,,-3125000000.0,,2915000000.0,2423675000000.0
C.N,,,,-4818000000.0,,3546000000.0,2368477000000.0
C.N,,,,-6583000000.0,,-1839000000.0,2411834000000.0
C.N,,,,-1607000000.0,,3371000000.0,2432510000000.0
C.N,,,,-3251000000.0,,3217000000.0,2405686000000.0
C.N,,,,-4812000000.0,,3238000000.0,2430663000000.0
